Date,World,China,India,United States,Russia,Japan,Indonesia,Germany,Brazil,United Kingdom,Italy,Bangladesh,France,Pakistan,Ukraine,Nigeria,Mexico,Spain,Vietnam,Poland,Egypt,Philippines,Turkey,South Korea,Ethiopia,Thailand,Myanmar,Argentina,Iran,Romania,Canada,South Africa,Democratic Republic of the Congo,Colombia,Netherlands,North Korea,Morocco,Hungary,Nepal,Czech Republic,Algeria,Belgium,Portugal,Australia,Afghanistan,Taiwan,Tanzania,Belarus,Peru,Greece,Sri Lanka,Bulgaria,Sweden,Austria,Kazakhstan,Sudan,Malaysia,Uzbekistan,Mozambique,Kenya,Chile,Serbia,Cuba,Uganda,Ghana,Iraq,Venezuela,Cameroon,Yemen,Switzerland,Madagascar,Cambodia,Burkina Faso,Denmark,Angola,Finland,Saudi Arabia,Croatia,Mali,Tunisia,Georgia,Syria,Slovakia,Ecuador,Niger,Norway,Haiti,Guatemala,Ireland,Azerbaijan,Ivory Coast,Zimbabwe,Malawi,Bolivia,South Sudan,Bosnia and Herzegovina,Senegal,Chad,Guinea,Lithuania,Zambia,Rwanda,Somalia,Burundi,Dominican Republic,Moldova,Hong Kong,Puerto Rico,Uruguay,Sierra Leone,El Salvador,Latvia,New Zealand,Laos,Kyrgyzstan,Benin,Tajikistan,Paraguay,Slovenia,Honduras,Papua New Guinea,Eritrea,Jamaica,Lebanon,Armenia,Israel,Central African Republic,Albania,North Macedonia,Turkmenistan,Togo,Nicaragua,Estonia,Singapore,Palestine,Mauritania,Libya,Panama,Costa Rica,Republic of the Congo,Liberia,Mongolia,Kosovo,Lesotho,Trinidad and Tobago,Guinea-Bissau,Jordan,Cyprus,Oman,Mauritius,Namibia,Timor-Leste,Botswana,Guyana,Gabon,Montenegro,Malta,Luxembourg,Fiji,Eswatini,Gambia,Equatorial Guinea,Barbados,Suriname,Macau,Bhutan,Comoros,Cape Verde,Kuwait,Iceland,Bahrain,Solomon Islands,Curaçao,Samoa,Djibouti,Maldives,Saint Lucia,Grenada,United Arab Emirates,Bahamas,Saint Vincent and the Grenadines,Belize,French Polynesia,Guam,São Tomé and Príncipe,Jersey,New Caledonia,Isle of Man,Vanuatu,Dominica,Aruba,Antigua and Barbuda,Guernsey,Tonga,Brunei,Saint Kitts and Nevis,Bermuda,Kiribati,Seychelles,Faroe Islands,Federated States of Micronesia,United States Virgin Islands,Qatar,Gibraltar,Greenland,American Samoa,Monaco,Cook Islands,Liechtenstein,Montserrat,San Marino,Marshall Islands,Western Sahara,Palau,Andorra,British Virgin Islands,Cayman Islands,Northern Mariana Islands,Wallis and Futuna,Anguilla,"Saint Helena, Ascension and Tristan da Cunha",Turks and Caicos Islands,Saint Pierre and Miquelon,Tuvalu,Nauru,Saint Barthélemy,Saint Martin,Sint Maarten
1950,2557629,562580,369881,151869,101937,83806,82979,68375,53444,50128,47106,45646,42540,40383,36775,31797,28486,28063,25349,24825,21198,21132,21122,20846,20175,20042,19488,17151,16358,16312,14012,13596,13569,11592,10121,9472,9344,9339,8990,8926,8893,8640,8443,8268,8151,7982,7935,7723,7633,7567,7534,7251,7015,6936,6694,6468,6434,6293,6251,6122,6091,5957,5785,5522,5298,5164,5010,4888,4778,4695,4621,4472,4377,4272,4118,4009,3860,3838,3688,3518,3516,3496,3464,3370,3272,3266,3098,2969,2964,2886,2861,2854,2817,2767,2707,2663,2654,2608,2586,2554,2554,2440,2438,2363,2353,2337,2238,2219,2195,2088,1940,1937,1909,1886,1739,1673,1531,1476,1468,1432,1413,1403,1385,1365,1356,1287,1260,1228,1225,1205,1172,1098,1096,1023,1018,1006,962,893,867,827,824,779,762,727,633,574,562,495,489,482,464,436,431,428,416,396,312,296,288,278,272,212,211,209,206,164,149,147,145,143,115,107,102,82,80,80,80,76,72,71,67,66,63,60,60,57,56,55,53,52,50,46,46,46,45,45,39,34,33,32,31,27,26,23,23,20,19,15,14,14,13,11,10,8,7,7,7,7,7,6,6,6,5,5,4,3,3,3
1955,2782099,607047,404268,165070,111126,89816,90255,70196,61652,50947,48634,49589,44243,45536,39369,35955,32930,29319,27739,27221,23856,24336,24145,21552,21991,23452,21050,18928,18739,17326,16051,15369,14953,13589,10759,8864,10782,9826,9480,9366,9842,8869,8693,9278,8892,9486,8971,7781,8672,7966,8694,7500,7263,6947,7977,7391,7312,7233,6782,7034,6744,6314,6382,6318,6049,5904,6171,5211,5266,4981,5003,5049,4615,4440,4424,4235,4244,3956,4072,3847,3828,3938,3727,3843,3560,3428,3365,3488,2917,3314,3165,3410,3089,3075,2757,2975,2927,2806,2787,2615,2870,2699,2674,2577,2738,2623,2491,2251,2354,2233,2222,2003,2137,2078,1902,1847,1781,1684,1518,1663,1546,1499,1489,1561,1566,1771,1349,1393,1341,1348,1299,1278,1155,1306,1055,1054,1123,1011,1032,904,929,845,854,787,721,592,689,533,540,572,522,473,462,492,429,432,315,305,333,312,307,226,228,241,193,187,164,170,187,159,131,115,112,94,91,81,86,85,83,88,76,77,72,69,61,60,65,52,59,57,54,52,47,55,61,50,42,37,36,33,36,28,36,24,27,20,19,17,15,13,14,13,16,9,7,7,7,8,8,6,6,6,5,5,4,3,4,3
1960,3043002,651340,445394,179980,119632,94092,100146,72481,71412,52373,50198,54593,46612,51719,42645,41551,38579,30642,31657,29590,26847,28026,28218,24785,24169,27513,22840,20617,21600,18404,18267,17417,16611,15953,11494,10448,12424,9984,10035,9660,10910,9119,9037,10362,9830,11210,10260,8168,9932,8328,9914,7868,7481,7048,9983,8447,8429,8532,7473,8157,7586,6659,7028,7262,6959,6823,7557,5609,5872,5363,5482,5762,4866,4582,4798,4430,4719,4037,4495,4150,4147,4531,3995,4416,3913,3582,3697,4100,2833,3882,3577,4011,3451,3435,2809,3241,3270,3043,3027,2765,3255,3032,2956,2816,3232,2999,3076,2359,2531,2397,2582,2116,2372,2310,2172,2056,2081,1910,1558,1952,1719,1615,1632,1787,1869,2139,1468,1624,1367,1585,1456,1493,1211,1647,1115,1118,1338,1148,1249,1003,1055,955,947,859,842,617,853,579,602,664,591,509,497,572,447,462,329,314,394,352,352,244,233,285,187,213,183,197,293,176,157,127,124,111,112,93,88,91,104,113,82,92,82,67,64,63,79,48,67,60,58,55,47,64,84,52,45,41,42,35,42,33,46,25,33,21,21,18,17,13,16,16,28,10,9,8,8,9,8,6,6,6,5,6,5,3,5,3
1965,3350426,716667,494964,193527,126542,98883,110754,75639,82602,54351,51988,60285,49834,59047,45235,48068,45143,32085,37259,31263,30266,32391,31951,28706,26741,32062,24938,22284,25040,19028,20072,19899,18856,18647,12302,11965,14067,10153,10863,9777,11964,9449,9129,11440,10998,12978,11871,8591,11468,8551,11261,8202,7734,7271,11903,9653,9648,10206,8302,9550,8510,6959,7810,8390,8010,7971,9068,6104,6511,5944,6071,6602,5032,4759,5135,4564,5328,4134,4978,4566,4465,5323,4370,5118,4344,3724,4094,4746,2877,4567,4357,4686,3915,3854,2862,3494,3744,3345,3314,2960,3695,3265,3283,3171,3806,3334,3598,2597,2694,2582,3018,2254,2641,2566,2574,2311,2511,2171,1621,2330,1941,1747,1778,2058,2206,2573,1628,1884,1470,1883,1648,1751,1288,1887,1212,1196,1624,1326,1488,1124,1209,1091,1079,953,940,604,1069,601,682,756,671,554,539,641,475,492,320,332,464,400,412,253,235,337,224,255,207,232,477,193,192,144,134,128,143,98,95,94,144,140,86,107,95,75,69,67,91,49,75,64,60,60,51,75,103,49,49,45,48,38,49,44,71,26,40,25,23,20,19,12,18,18,50,11,14,9,9,11,9,6,6,6,6,6,6,3,5,5
1970,3712698,822116,553889,203985,130246,104345,122292,77784,94931,55633,53662,67332,51955,67492,47236,55591,52776,33877,42577,32527,33575,37253,35759,32242,29469,37091,27393,23963,28995,20253,21750,22740,21781,21430,13043,14062,15910,10338,11919,9796,13932,9638,9045,12661,12431,14599,13807,9028,13193,8793,12619,8490,8043,7468,13107,11031,10911,11941,9305,11248,9369,7249,8543,9716,8789,9414,10759,6727,7099,6268,6766,7395,5304,4929,5606,4607,6110,4206,5547,5099,4695,6253,4524,5940,4841,3878,4541,5265,2951,5169,5580,5515,4509,4347,2915,3704,4318,3728,3644,3138,4241,3770,3667,3522,4423,3595,3960,2722,2824,2790,3604,2362,2829,2845,2964,2620,2939,2477,1676,2761,2214,2161,1944,2384,2520,2895,1840,2157,1575,2182,1965,2053,1364,2075,1033,1290,2000,1532,1736,1273,1397,1248,1220,1068,956,621,1516,628,784,830,765,598,584,715,515,515,326,340,522,456,485,271,239,373,262,310,237,269,748,205,220,164,145,143,180,115,103,96,250,171,88,123,115,87,74,70,113,53,86,70,60,66,54,84,128,47,53,49,55,39,57,64,113,27,47,28,24,21,22,12,20,22,90,13,20,10,11,13,9,7,6,6,6,6,7,3,6,7
1975,4089084,920295,618923,215466,134294,111574,135214,78683,107328,56216,55572,76153,53998,76457,48974,64428,60679,35564,48076,33970,36953,42406,40530,35282,32976,42273,30330,26082,33468,21246,23210,25816,25033,24125,13665,16015,17688,10532,13156,10043,16141,9795,9412,13772,14133,16123,16148,9361,15162,9047,13780,8721,8193,7579,14158,12708,12131,13988,10433,13434,10208,7432,9291,10761,10100,11118,12675,7522,7935,6404,7604,7500,5674,5060,6051,4712,7208,4256,6218,5704,4898,7398,4730,6872,5420,4008,4974,5911,3178,5697,7031,6342,5318,4915,3396,3981,4990,4145,4019,3306,4849,4357,4128,3677,5049,3847,4396,2936,2844,3031,4073,2462,3118,3162,3301,2996,3449,2849,1723,2858,2505,2422,2105,2693,2835,3342,2058,2402,1685,2524,2267,2395,1433,2263,1201,1405,2569,1750,1992,1456,1617,1446,1370,1196,1007,681,1822,627,921,886,916,677,705,768,648,550,328,359,577,521,566,214,248,363,255,373,276,281,1007,219,259,194,150,151,227,133,113,96,523,190,93,136,134,103,82,73,134,60,100,74,60,69,54,90,157,45,54,54,60,41,67,95,165,30,50,30,26,20,24,13,20,27,73,13,27,11,15,15,9,7,7,7,6,7,8,3,7,11
1980,4451363,987822,684888,227225,139039,116808,150322,78298,121064,56315,56452,87938,55164,85220,50047,74829,68348,37489,53716,35579,42635,48290,45048,38125,36037,47026,33337,28370,39709,22131,24594,29252,29011,26632,14156,17391,19488,10712,14666,10289,18807,9847,9778,14616,15045,17849,18654,9644,17296,9643,15056,8844,8311,7550,15000,14784,13461,15994,12103,16331,10999,7588,9653,12020,11153,13233,14768,8756,9133,6386,8692,6889,6319,5124,7206,4780,10022,4384,6869,6444,5046,8740,4966,7921,6094,4086,5508,6650,3402,6199,8594,7170,6258,5442,4668,4093,5612,4523,4448,3436,5541,5140,5794,4298,5697,3997,5064,3210,2931,3336,4571,2525,3171,3294,3632,3459,3967,3172,1834,3403,2847,2569,2229,2902,3134,3721,2349,2672,1793,2876,2626,2804,1483,2414,1361,1545,3061,1960,2300,1676,1858,1656,1522,1359,1091,789,2190,631,1186,964,1059,558,901,760,714,561,365,365,635,612,653,257,252,355,256,447,340,297,1370,229,348,231,148,160,327,153,123,91,1001,210,99,145,151,107,95,76,140,65,117,74,60,69,54,92,186,44,55,58,64,44,78,100,230,29,51,33,27,19,26,12,22,31,125,14,34,11,18,17,11,7,7,8,6,8,8,3,8,13
1985,4856463,1061876,759613,237924,143938,120755,166070,77685,135734,56585,56719,102309,56561,102079,50945,84898,76601,38535,60094,37226,50053,54589,50989,40807,40684,51759,36766,30672,48619,22522,25942,34255,33348,29748,14505,18831,21644,10649,16570,10311,22009,9859,9898,15696,13120,19338,21485,9982,19380,9924,15848,8944,8357,7560,15999,17507,15650,18216,13294,19763,11953,7720,10065,13811,13573,15694,16998,10227,10540,6568,10029,7842,7171,5114,8390,4902,13331,4458,7623,7364,5193,10479,5145,9062,6870,4153,6120,7581,3541,6846,10332,8561,7321,5935,5320,4227,6379,5067,5227,3588,6536,5987,6459,4915,6379,4149,5457,3383,3019,3704,4672,2607,3324,3658,4062,4031,4569,3634,1915,4078,3229,2942,2319,3177,3465,4050,2715,2957,1845,3241,3130,3181,1539,2750,1578,1724,3661,2168,2645,1927,2162,1860,1683,1552,1190,886,2669,680,1498,1021,1205,649,1080,763,834,561,348,368,699,722,773,326,258,395,306,530,383,317,1733,242,424,273,154,161,383,178,132,94,1364,229,104,166,176,121,105,80,153,65,135,74,62,65,56,95,218,43,57,63,68,46,91,101,343,29,54,39,29,18,27,12,23,39,180,14,45,14,21,22,14,7,8,10,7,9,9,4,16,20
1990,5288956,1153164,838159,249623,147973,123538,181600,79381,149410,57411,56714,112213,58256,118817,51623,96685,84635,39351,67259,38120,54908,61481,56545,42870,47555,56097,40464,33036,58101,22866,27791,38504,39152,33148,14966,20452,24000,10372,18919,10310,25191,9970,9923,16957,13569,20279,24805,10201,21565,10130,16862,8895,8601,7723,16776,21130,17883,20531,12990,23361,13008,7787,10507,16549,15549,18140,19326,11984,12417,6844,11633,9368,8362,5141,9486,4987,16061,4509,8487,8208,5432,12534,5263,10319,7826,4243,6798,8966,3509,7498,12491,10157,9360,6574,4960,4315,7348,5842,6119,3684,7604,7000,6693,5509,7084,4375,5688,3537,3086,4229,5110,2664,3414,4211,4484,4706,5273,4201,1992,4795,3683,3138,2348,3452,3530,4460,3085,3245,1862,3659,3721,3644,1570,3048,1899,1925,4099,2394,3024,2221,2139,2122,1862,1704,1256,996,3321,746,1795,1062,1471,740,1265,772,939,584,360,383,740,882,952,372,263,417,352,615,431,340,2132,255,506,322,146,163,500,217,138,95,1827,246,108,191,200,135,116,84,169,69,154,71,64,65,63,97,253,42,58,72,71,48,109,104,434,30,56,48,30,19,29,11,24,46,218,16,53,16,27,45,14,9,7,12,7,10,10,6,31,30
1995,5699203,1221056,920585,266279,148759,125328,197604,81654,161912,58187,57295,121443,59824,134186,51248,109753,92584,39765,73784,38601,58946,68472,61296,45106,55726,59818,43994,35274,64218,22688,29691,42148,46705,36532,15477,22108,26148,10281,21877,10324,28322,10156,10066,17976,19446,21291,29065,10205,23864,10458,17942,8285,8878,8048,16390,24517,20340,23068,15889,27164,14173,7692,10848,19641,17322,19658,21550,13828,14832,7165,13533,11235,9903,5233,11000,5105,18756,4497,9489,8947,5042,14487,5362,11266,9111,4360,7571,10028,3614,8051,14846,11160,9809,7375,5193,3547,8379,6770,7446,3510,8691,5473,6401,5800,7759,4356,6223,3684,3151,3882,5480,2481,3643,4847,4621,5647,5679,4826,2003,5551,4216,3566,2470,3673,3131,5335,3545,3159,1955,4079,4203,4402,1447,3567,2508,2235,4584,2639,3445,2570,1901,2307,2029,1848,1265,1144,4249,848,2139,1124,1682,868,1478,769,1070,671,377,410,773,1004,1162,427,268,428,402,567,483,386,1665,268,583,376,142,169,554,261,147,98,2458,266,109,218,217,145,128,85,192,73,173,72,80,69,61,98,288,44,61,77,75,44,106,108,510,27,57,54,31,19,31,11,25,50,264,18,64,20,33,58,15,10,7,15,7,10,10,7,33,32
